OID,AIMSFID,WARD,DISTRICT,NAME,SHAPE_STArea__,SHAPE_STLength__
-1,201727221001274.000000000000000,H1,H104.01,Leawood 1-04,16613195.094787598000000,20230.352749895144000
-1,201727221001275.000000000000000,H1,H105.01,Leawood 1-05,13218415.695556641000000,16504.347578509078000
-1,201727221001276.000000000000000,H1,H106.01,Leawood 1-06,2922623.935485839800000,6838.730031630298100
-1,201727221001277.000000000000000,H1,H107.01,Leawood 1-07,13383811.524566650000000,18141.038342302392000
-1,201727221001278.000000000000000,H2,H201.01,Leawood 2-01,10402480.498809814000000,17198.922134253651000
-1,201727221001279.000000000000000,H2,H202.01,Leawood 2-02,18529813.161132812000000,18125.947331485495000
-1,201727221001280.000000000000000,H2,H203.01,Leawood 2-03,16982231.957397461000000,19794.337625970802000
-1,201727221001281.000000000000000,H2,H204.01,Leawood 2-04,47642852.476928711000000,32501.056451945198000
-1,201727221001282.000000000000000,H2,H205.01,Leawood 2-05,5950651.524749755900000,12498.376844168957000
-1,201727221001283.000000000000000,H2,H206.01,Leawood 2-06,14038863.754028320000000,15914.800853717794000
-1,201727221001284.000000000000000,H2,H207.01,Leawood 2-07,7498268.168884277300000,13152.497808687103000
-1,201727221001285.000000000000000,H3,H301.01,Leawood 3-01,10553227.285797119000000,22800.081785259721000
-1,201727221001286.000000000000000,H3,H302.01,Leawood 3-02,11716838.891021729000000,16069.928858085330000
-1,201727221001287.000000000000000,H3,H303.01,Leawood 3-03,10457364.868103027000000,18431.661487875044000
-1,201727221001288.000000000000000,H3,H304.01,Leawood 3-04,11392527.086273193000000,17768.894477868806000
-1,201727221001289.000000000000000,H3,H305.01,Leawood 3-05,34065763.288879395000000,23383.995820192995000
-1,201727221001390.000000000000000,H3,H306.01,Leawood 3-06,30170159.237243652000000,28402.297137601337000
-1,201727221001391.000000000000000,H4,H401.01,Leawood 4-01,7318095.147338867200000,14283.304219414580000
-1,201727221001392.000000000000000,H4,H402.01,Leawood 4-02,10869098.575286865000000,16169.112187115756000
-1,201727221001393.000000000000000,H4,H403.01,Leawood 4-03,14099429.859893799000000,15958.321031183823000
-1,201727221001394.000000000000000,H4,H404.01,Leawood 4-04,14037142.197052002000000,15893.924826715149000
-1,201727221001395.000000000000000,H4,H405.01,Leawood 4-05,11424450.454528809000000,17266.504532321473000
-1,201727221001396.000000000000000,H4,H406.01,Leawood 4-06,24619330.842193604000000,26533.318477510384000
-1,201727221001397.000000000000000,H4,H407.01,Leawood 4-07,27992900.453735352000000,21165.582530253600000
-1,201727221001398.000000000000000,I1,I101.01,Lenexa 1-01,51200787.310943604000000,37527.509615557610000
-1,201727221001399.000000000000000,I1,I101.02,Lenexa 1-01,19149334.605682373000000,20664.547654472055000
-1,201727221001400.000000000000000,I1,I101.03,Lenexa 1-01,42377370.683349609000000,27082.379622704939000
-1,201727221001401.000000000000000,I1,I102.01,Lenexa 1-02,10759316.591430664000000,14616.692945113109000
-1,201727221001402.000000000000000,I1,I103.01,Lenexa 1-03,12347393.915710449000000,16128.786459090019000
-1,201727221001403.000000000000000,I1,I104.01,Lenexa 1-04,8281199.012878418000000,13784.082901258782000
-1,201727221001404.000000000000000,I1,I105.01,Lenexa 1-05,22123996.511505127000000,23665.844560156671000
-1,201727221001405.000000000000000,I1,I106.01,Lenexa 1-06,10900078.601196289000000,19441.538003380254000
-1,201727221001406.000000000000000,I1,I106.02,Lenexa 1-06,26585945.352478027000000,20704.985685499581000
-1,201727221001407.000000000000000,I1,I106.03,Lenexa 1-06,31410459.815002441000000,34435.377522421477000
-1,201727221001408.000000000000000,I1,I107.01,Lenexa 1-07,17189955.685607910000000,31276.870119810239000
-1,201727221001409.000000000000000,I1,I108.01,Lenexa 1-08,5010949.506347656300000,12473.694594492501000
-1,201727221001410.000000000000000,I1,I109.01,Lenexa 1-09,229431.207092285160000,2282.572807894659000
-1,201727221001411.000000000000000,I2,I201.01,Lenexa 2-01,21593956.784027100000000,22079.770550833284000
-1,201727221001412.000000000000000,I2,I201.02,Lenexa 2-01,27763771.650665283000000,21348.323217568137000
-1,201727221001413.000000000000000,I2,I202.01,Lenexa 2-02,77844308.958190918000000,40229.087602371641000
-1,201727221001414.000000000000000,I2,I202.02,Lenexa 2-02,22297829.439056396000000,24951.256958507860000
-1,201727221001415.000000000000000,I2,I203.01,Lenexa 2-03,38613093.429321289000000,30691.163105313939000
